pointnum,type,x_position,y_position
4623,room,179.51905487804876,348.1979166666667
4607A,room,126.61559959349594,324.5287247474747
4311,room,61.94181910569105,361.3747459349594
4619,room,169.94588414634146,375.5173611111111
4311A,room,50.27241161616162,354.5180386178862
4301,room,53.09690656565657,329.1003556910569
4301A,room,57.94181910569105,324.0150462962963
4301B,room,47.5322662601626,324.0150462962963
4308,room,88.52430555555556,354.7604166666667
4308A,room,88.42708333333333,338.4449404761905
4617A,room,158.43171296296296,374.6928353658536
4610,room,135.4335488505747,394.0251524390244
4608,room,122.37372967479675,394.0251524390244
4606,room,110.26988636363637,395.77367424242425
4815,room,120.28429878048782,407.5428240740741
4615B,room,149.02998737373738,329.20023148148147
4615A,room,137.2832825203252,327.4292385057471
4901,room,203.37576219512195,337.6145833333333
4903,room,204.20198170731706,367.3493394308943
4615,room,150.6864224137931,351.0393800813008
4607,room,120.43267276422765,369.6890782828283
4617,room,147.34970238095238,374.7893800813008
3602,room,299.0104166666667,413.4448678861789
3326,room,323.10069444444446,448.1133207070707
3734,room,455.0271849593496,415.1105182926829
3728,room,453.85448232323233,466.7019817073171
3730,room,453.9378591954023,448.6796239837398
3704,room,432.625762195122,416.8747459349594
3732,room,453.355744949495,431.2673611111111
3738,room,453.60645325203257,401.2019817073171
3702,room,431.0111350574713,404.1908028455284
3630,room,431.2050304878049,395.60700757575756
3624A,room,420.7090955284553,395.60700757575756
3624B,room,420.51257183908046,405.3645833333333
3624,room,402.92708333333337,398.59734195402297
3306,room,374.9377540650407,417.5987787356322
3342,room,371.35448232323233,432.9438516260163
3316,room,350.35953282828285,431.5190548780488
3318,room,349.92923850574715,415.1057449494949
3303,room,352.9448678861789,406.1013719512195
3612,room,336.9378591954023,401.43781565656565
3320,room,335.2080792682927,415.44286616161617
3322,room,321.60442073170736,415.3564532520325
3324,room,321.6916035353536,431.3716971544715
3334,room,347.84375,456.5944683908046
3602C,room,320.6816565040651,401.43781565656565
3614,room,353.2842987804878,397.6216971544716
3340,room,371.44097222222223,448.2761994949495
